start_hour,activeSessions_site1,utilizationRate_site1,kWhDelivered_site1,idleRate_site1,blockedRate_site1,activeSessions_site2,utilizationRate_site2,kWhDelivered_site2,idleRate_site2,blockedRate_site2,activeSessions_total,kWhDelivered_total,utilizationRate_total,idleRate_total,blockedRate_total,temperature,cloud_cover,cloud_cover_description,pressure,windspeed,precipitation,hour_of_day,week_of_year,day_of_week,month_of_year,is_weekend,date,year
2021-02-21 19:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,2,0.03476767676767677,0.0,0.0,0.03476767676767677,3,0.0,0.027217030114226378,0.0,0.0,,,,,,,19,7,6,2,True,2021-02-21,2021
2021-02-21 20:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,2,0.016666666666666666,0.37073570658036675,0.04606060606060606,0.0158989898989899,3,0.37073570658036675,0.017912772585669784,0.022028985507246378,0.0003946002076843198,,,,,,,20,7,6,2,True,2021-02-21,2021
2021-02-21 21:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,1,0.01795959595959596,8.673264293419633,1.0,0.0,2,8.673264293419633,0.01857736240913811,0.49692565679150363,0.009231568016614745,,,,,,,21,7,6,2,True,2021-02-21,2021
2021-02-21 22:00:00-08:00,2,0.023648504273504272,3.934759234449761,0.5482267901513441,0.010683760683760682,0,0.0,0.0,0.0,0.0,2,3.934759234449761,0.011492731048805814,0.5482267901513441,0.006300623052959502,,,,,,,22,7,6,2,True,2021-02-21,2021
2021-02-21 23:00:00-08:00,1,0.019230769230769232,4.5362407655502395,0.7772222222222223,0.004284188034188034,0,0.0,0.0,0.0,0.0,1,4.5362407655502395,0.009345794392523364,0.7772222222222223,0.007263759086188993,,,,,,,23,7,6,2,True,2021-02-21,2021
2021-02-22 00:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0,0.0,0.0,0.0,0.0,1,0.0,0.009345794392523364,0.0,0.0,,,,,,,0,8,0,2,False,2021-02-22,2021
2021-02-22 01:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0,0.0,0.0,0.0,0.0,1,0.0,0.009345794392523364,0.0,0.0,,,,,,,1,8,0,2,False,2021-02-22,2021
2021-02-22 02:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0,0.0,0.0,0.0,0.0,1,0.0,0.009345794392523364,0.0,0.0,,,,,,,2,8,0,2,False,2021-02-22,2021
2021-02-22 03:00:00-08:00,3,0.023664529914529917,1.4201155526037579,0.1873589164785553,0.019230769230769232,0,0.0,0.0,0.0,0.0,3,1.4201155526037579,0.011500519210799585,0.1873589164785553,0.00215472481827622,,,,,,,3,8,0,2,False,2021-02-22,2021
2021-02-22 04:00:00-08:00,3,0.057692307692307696,12.174112357589898,0.6666666666666666,0.019230769230769232,0,0.0,0.0,0.0,0.0,3,12.174112357589898,0.028037383177570093,0.6666666666666666,0.018691588785046728,,,,,,,4,8,0,2,False,2021-02-22,2021
2021-02-22 05:00:00-08:00,6,0.07550213675213675,14.439015163130748,0.7109098627423235,0.021826923076923074,0,0.0,0.0,0.0,0.0,6,14.439015163130748,0.0366926272066459,0.7109098627423235,0.026085150571131883,,,,,,,5,8,0,2,False,2021-02-22,2021
2021-02-22 06:00:00-08:00,9,0.117142094017094,18.09059730186007,0.7358292671804461,0.03094551282051281,0,0.0,0.0,0.0,0.0,9,18.09059730186007,0.056928868120456895,0.7358292671804461,0.04188992731048806,,,,,,,6,8,0,2,False,2021-02-22,2021
2021-02-22 07:00:00-08:00,13,0.17390491452991455,28.4685731123258,0.7787129473199201,0.038482905982905984,0,0.0,0.0,0.0,0.0,13,28.4685731123258,0.08451453790238837,0.7787129473199201,0.06581256490134996,,,,,,,7,8,0,2,False,2021-02-22,2021
2021-02-22 08:00:00-08:00,13,0.24336538461538465,39.81712394866171,0.7977303656876947,0.04922542735042738,0,0.0,0.0,0.0,0.0,13,39.81712394866171,0.1182710280373832,0.7977303656876947,0.09434839044652128,,,,,,,8,8,0,2,False,2021-02-22,2021
2021-02-22 09:00:00-08:00,17,0.29490918803418803,44.76695740969326,0.7997536544278806,0.05905448717948717,2,0.026565656565656567,21.826678017806827,1.0,0.0,19,66.59363542750009,0.1569755970924195,0.8171730034564308,0.128276220145379,,,,,,,9,8,0,2,False,2021-02-22,2021
2021-02-22 10:00:00-08:00,20,0.3611111111111111,54.710626472448354,0.7449556213017751,0.092099358974359,2,0.01954040404040404,2.669321982193174,0.2235719824243991,0.01517171717171717,22,57.37994845464153,0.1855373831775701,0.7167303306328617,0.13298026998961576,,,,,,,10,8,0,2,False,2021-02-22,2021
2021-02-22 11:00:00-08:00,22,0.37823183760683765,54.054564141128054,0.7106560271167289,0.10943910256410261,2,0.01648989898989899,1.542153846153846,0.5390505359877489,0.007601010101010101,24,55.5967179872819,0.19228971962616825,0.7030916700418522,0.13519730010384215,,,,,,,11,8,0,2,False,2021-02-22,2021
2021-02-22 12:00:00-08:00,21,0.37067307692307694,41.079452035681726,0.5637844069750685,0.16169337606837608,2,0.01966161616161616,3.422273129693325,1.0,0.0,23,44.50172516537505,0.19024662512980273,0.5869574116780154,0.11166666666666668,,,,,,,12,8,0,2,False,2021-02-22,2021
2021-02-22 13:00:00-08:00,20,0.3435096153846154,26.478442213913574,0.39455718839903586,0.20797542735042734,3,0.03754040404040404,5.004905913633521,0.7558186465760798,0.009166666666666662,23,31.483348127547096,0.18623572170301142,0.4319886252753074,0.08045171339563864,,,,,,,13,8,0,2,False,2021-02-22,2021
2021-02-22 14:00:00-08:00,18,0.30951388888888887,31.558589218034008,0.4768471376054953,0.1619230769230769,2,0.03636363636363636,2.5536671105193074,0.4608333333333333,0.019606060606060606,20,34.112256328553315,0.16910955347871234,0.47507714035707166,0.08034008307372793,,,,,,,14,8,0,2,False,2021-02-22,2021
2021-02-22 15:00:00-08:00,18,0.24554487179487175,27.28325958209942,0.5355915241700389,0.1140331196581196,3,0.04503535353535353,1.0223222106360792,0.19255354940002242,0.03636363636363636,21,28.3055817927355,0.1424792315680166,0.47985715066596224,0.06836967808930426,,,,,,,15,8,0,2,False,2021-02-22,2021
2021-02-22 16:00:00-08:00,11,0.20560897435897435,21.160211161453837,0.4172772148610029,0.11981303418803418,3,0.04258080808080809,0.6906777893639208,0.13758747479539793,0.03672222222222222,14,21.850888950817758,0.12180944963655244,0.3670211632318152,0.044706645898234684,,,,,,,16,8,0,2,False,2021-02-22,2021
2021-02-22 17:00:00-08:00,9,0.1198397435897436,5.723360329375774,0.16541856111259692,0.10001602564102564,2,0.0207020202020202,0.0,0.0,0.0207020202020202,11,5.723360329375774,0.06888110072689511,0.13986356612520257,0.009633956386292834,,,,,,,17,8,0,2,False,2021-02-22,2021
2021-02-22 18:00:00-08:00,3,0.0415491452991453,0.0,0.0,0.0415491452991453,1,0.014207070707070708,0.0,0.0,0.014207070707070708,4,0.0,0.027494807892004158,0.0,0.0,,,,,,,18,8,0,2,False,2021-02-22,2021
2021-02-22 19:00:00-08:00,2,0.024145299145299146,0.0,0.0,0.024145299145299146,0,0.0,0.0,0.0,0.0,2,0.0,0.011734164070612669,0.0,0.0,,,,,,,19,8,0,2,False,2021-02-22,2021
2021-02-22 20:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0,0.0,0.0,0.0,0.0,1,0.0,0.009345794392523364,0.0,0.0,,,,,,,20,8,0,2,False,2021-02-22,2021
2021-02-22 21:00:00-08:00,1,0.019230769230769232,0.0,0.0,0.019230769230769232,0,0.0,0.0,0.0,0.0,1,0.0,0.009345794392523364,0.0,0.0,,,,,,,21,8,0,2,False,2021-02-22,2021
2021-02-22 22:00:00-08:00,2,0.0222008547008547,1.8206915080761235,0.49951876804619827,0.01111111111111111,0,0.0,0.0,0.0,0.0,2,1.8206915080761235,0.01078920041536864,0.49951876804619827,0.005389408099688474,,,,,,,22,8,0,2,False,2021-02-22,2021
2021-02-22 23:00:00-08:00,1,0.019230769230769232,3.157268511114665,1.0,0.0,0,0.0,0.0,0.0,0.0,1,3.157268511114665,0.009345794392523364,1.0,0.009345794392523364,,,,,,,23,8,0,2,False,2021-02-22,2021
2021-02-23 00:00:00-08:00,1,0.019230769230769232,0.5060399808092115,0.16027777777777777,0.016148504273504276,0,0.0,0.0,0.0,0.0,1,0.5060399808092115,0.009345794392523364,0.16027777777777777,0.0014979231568016615,,,,,,,0,8,1,2,False,2021-02-23,2021
2021-02-23 01:00:00-08:00,1,0.011287393162393163,0.0,0.0,0.011287393162393163,0,0.0,0.0,0.0,0.0,1,0.0,0.0054854620976116306,0.0,0.0,,,,,,,1,8,1,2,False,2021-02-23,2021
2021-02-23 02:00:00-08:00,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,,,,,,,2,8,1,2,False,2021-02-23,2021
2021-02-23 03:00:00-08:00,2,0.013541666666666665,4.325151579693367,1.0,0.0,0,0.0,0.0,0.0,0.0,2,4.325151579693367,0.006580996884735202,1.0,0.006580996884735202,,,,,,,3,8,1,2,False,2021-02-23,2021
2021-02-23 04:00:00-08:00,3,0.03957799145299146,12.60842944350025,1.0,0.0,0,0.0,0.0,0.0,0.0,3,12.60842944350025,0.01923416407061267,1.0,0.01923416407061267,,,,,,,4,8,1,2,False,2021-02-23,2021
